Feature,Importance
Type_of_vehicle_Automobile,0.0010972537083178621
Road_surface_conditions_Dry,0.001084205600076888
Type_of_collision_Collision with animals,0.0010040104848647148
Cause_of_accident_Turnover,0.0010000722382659992
Vehicle_movement_U-Turn,0.0009910335928563839
Cause_of_accident_Drunk driving,0.0009873898601457814
Owner_of_vehicle_Governmental,0.000978699772700947
Lanes_or_Medians_One way,0.0009735490238994091
Owner_of_vehicle_Other,0.0009585296451312629
Road_surface_type_Other,0.0009327873112875521
Educational_level_Junior high school,0.0009247726170462965
Weather_conditions_Fog or mist,0.0009236492405337019
Service_year_of_vehicle_1-2yr,0.0008622926625774978
Area_accident_occured_ Church areas,0.0008449604443628597
Cause_of_accident_Getting off the vehicle improperly,0.0007558550687834449
Area_accident_occured_Rural village areas,0.0007418254394078556
Pedestrian_movement_Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,0.0007354374491243202
Sex_of_driver_Female,0.0006904954575479345
Driving_experience_Above 10yr,0.0006726286488712078
Area_accident_occured_Office areas,0.0006315567121520839
Age_band_of_driver_18-30,0.0006296359594940845
Type_of_vehicle_Public (12 seats),0.000608776148399449
Area_accident_occured_Other,0.000607517898312431
Service_year_of_vehicle_Above 10yr,0.0005882489907880183
Sex_of_driver_Male,0.0005865190395204555
Weather_conditions_Raining and Windy,0.0005445531879094146
Road_surface_conditions_Snow,0.0004964585461973007
Type_of_collision_Collision with roadside-parked vehicles,0.0004407979175139927
Educational_level_High school,0.00043296343611423866
Type_of_vehicle_Bicycle,0.00042850474391545497
Type_of_collision_Other,0.0004283951480128494
Age_band_of_driver_31-50,0.00038761706090763764
Vehicle_driver_relation_Unknown,0.00023339348548193298
"Pedestrian_movement_Walking along in carriageway, back to traffic",0.0002137188956389056
Cause_of_accident_Changing lane to the right,0.00019210258586619715
Type_of_collision_Unknown,0.00016939697342031664
Vehicle_movement_Stopping,0.00016451076215042313
Vehicle_movement_Waiting to go,0.0001408484300548171
Types_of_Junction_X Shape,0.00012741765258380763
Sex_of_driver_Unknown,9.503400210415772e-05
Weather_conditions_Windy,8.783546124185247e-05
Cause_of_accident_Unknown,8.555060122661551e-05
"Pedestrian_movement_In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",7.553281578267487e-05
Road_surface_type_Asphalt roads,3.0784627892537074e-06
Area_accident_occured_ Industrial areas,1.1957005026523037e-07
Cause_of_accident_Improper parking,0.0
"Pedestrian_movement_Walking along in carriageway, facing traffic",0.0
Area_accident_occured_Rural village areasOffice areas,0.0
Type_of_collision_Rollover,0.0
Type_of_collision_Fall from vehicles,0.0
Weather_conditions_Raining,0.0
